AEC Production Office,مكتب الإنتاج,
About,معلومات عن النظام,
Accounts User,حسابات المستخدمين,
Active,نشط,
Actual Cost to Date,التكلفة الفعلية حتى تاريخه,
Additional Notes,ملاحظات إضافية,
Administrator,مدير,
Amber,أصفر,
Amended From,معدل من,
Amount,مبلغ,
Approval Conditions,شروط الاعتماد,
Approve,وافق,
Approved,معتمد,
Apps,التطبيقات,
Archived,أرشفة,
Assessment,تقييم,
Assigned To,مسند إلى,
Attendees,الحضور,
BIM Standards,معايير BIM,
Bank Guarantee,ضمان بنكي,
Both,على حد سواء,
Burn Alert Cooldown (Hours),فترة التهدئة لتنبيه الإنفاق (ساعات),
Burn Rate Alert Threshold (%),عتبة تنبيه معدل الإنفاق (%),
Category,فئة,
Certified,معتمد,
Chaired By,برئاسة,
Charter Name,اسم الميثاق,
City,مدينة,
Claimed,ادعى,
Claimed Amount,المبلغ المطالب به,
Clear,واضح,
Closed,مغلق,
Comments,تعليقات,
Commercial Risk Item,عنصر المخاطر التجارية,
Commercial Risk Items,عناصر المخاطر التجارية,
Commercial Risk Rating,تقييم المخاطر التجارية,
Commercial Risk Review,مراجعة المخاطر التجارية,
Company,شركة,
Company Settings,إعدادات الشركة,
Complete,مكتمل,
Completed,مكتمل,
Concept,تصميم مبدئي,
Confirmed By (Name),مؤكد من (الاسم),
Construction Control,إدارة التشييد,
Consultant,مستشار,
Contract Status,حالة العقد,
Country,الدولة,
Critical,حرج,
Customer,العميل,
DPR Equipment,معدات تقرير التقدم,
DPR Manpower,القوى العاملة في تقرير التقدم,
Daily Progress Report,تقرير التقدم اليومي,
Date,تاريخ,
Decision,القرار,
Default Activity Type,نوع النشاط الافتراضي,
Default Cost Center,مركز التكلفة الافتراضي,
Default Payment Terms,شروط الدفع الافتراضية,
Default Retention (%),نسبة الضمان الافتراضية (%),
Default VAT Rate (%),نسبة ضريبة القيمة المضافة الافتراضية (%),
Deferred,مؤجل,
Deliverable Name,اسم المخرج,
Deliverable Type,نوع المخرج,
Description,الوصف,
Design Lead,قيادة التصميم,
Design Lead Approved,اعتماد قيادة التصميم,
Design Lead Reviewer,مراجع قيادة التصميم,
Design Operations,عمليات التصميم,
Design Stage,مرحلة التصميم,
Detailed,تصميم تفصيلي,
Discipline,التخصص,
Distribution Method,طريقة التوزيع,
Draft,مسودة,
Drawing,مخطط,
Drawing Number,رقم المخطط,
Drawing Revision,مراجعة المخطط,
Drawing Title,عنوان المخطط,
Due Date,تاريخ الاستحقاق,
Duration Risk Item,عنصر مخاطر المدة,
Duration Risk Items,عناصر مخاطر المدة,
Duration Risk Rating,تقييم مخاطر المدة,
Email,البريد الإلكتروني,
End Date,نهاية التاريخ,
Engineer,مهندس,
Estimated End Date,تاريخ الانتهاء المتوقع,
Estimated Start Date,تاريخ البدء المتوقع,
File,ملف,
File Attachment,ملف مرفق,
Financial Control,الرقابة المالية,
For Approval,للاعتماد,
For Construction,للتنفيذ,
For Information,للإعلام,
For Review,للمراجعة,
Format,الصيغة,
Frappe Support,دعم فرابيه,
Frozen,مجمد,
Gate,البوابة,
Gate 1,البوابة 1,
Gate 2,البوابة 2,
Gate 3,البوابة 3,
Gate Attendee,حاضر مراجعة البوابة,
Gate Review,مراجعة البوابة,
Gate Review Document Required,مستند مراجعة البوابة مطلوب,
General,عام,
Go,مضي,
Government,حكومة,
Green,أخضر,
Has Cost Impact?,هل له أثر على التكلفة؟,
Has Schedule Impact?,هل له أثر على الجدول الزمني؟,
High,عالٍ,
IFC,إصدار للتنفيذ,
In Progress,قيد التنفيذ,
Is Active,نشط,
Is Billable,قابل للفوترة,
Issue Description,وصف الملاحظة,
Issued,صادر,
Item Code,رمز السلعة,
Items,الاصناف,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Landscape,المناظر الطبيعيه,
Linked Risk Assessment,تقييم المخاطر المرتبط,
Log out,تسجيل الخروج,
Low,منخفض,
Managing Partner,الشريك المدير,
Materials,المواد,
Medium,متوسط,
Meeting Notes,ملاحظات الاجتماع,
Monthly,شهريا,
Name,اسم,
Naming Series,سلسلة التسمية,
No Go,إلغاء,
Non-Billable Justification,مبرر عدم الفوترة,
None,لا شيء,
Not Started,لم يبدأ,
Notes,ملاحظات,
Open,مفتوح,
Open Critical Snags,ملاحظات حرجة مفتوحة,
Opportunity,فرصة,
Other,آخر,
Overall Risk Rating,التقييم الكلي للمخاطر,
PDF,ملف PDF,
Package Name,اسم الحزمة,
Paid,مدفوع,
Payment Reference,إشارة دفع,
Payment Risk Items,عناصر مخاطر الدفع,
Payment Risk Rating,تقييم مخاطر الدفع,
Payment Risk Scan Item,عنصر مسح مخاطر الدفع,
Payment Terms,شروط الدفع,
Pending,في الانتظار,
Percentage,النسبة المئوية,
Plan,خطة,
Portal,بوابة,
Principal Approver,المعتمد الرئيسي,
Print,طباعة,
Priority,الأولوية,
Proceed,يتابع,
Project,مشروع,
Project BOQ,جدول الكميات,
Project BOQ Item,عنصر جدول الكميات,
Project Budget Control,ضبط ميزانية المشروع,
Project Charter,ميثاق المشروع,
Project Deliverable,مخرج المشروع,
Project Manager,مدير المشروع,
Project Name,اسم المشروع,
Project Priority,أولوية المشروع,
Project Variation Order,أمر التغيير,
Projects User,عضو المشاريع,
Purpose,الغرض,
Quality Inspection,فحص الجودة,
Quantity,كمية,
Query / Request Details,تفاصيل الاستفسار / الطلب,
RFI Record,سجل طلب الاستفسار,
Raised By,مقدم من,
Rate,سعر السلعة المفردة,
Reason,سبب,
Receipt Confirmed,تم تأكيد الاستلام,
Receipt Date,تاريخ الاستلام,
Recipient,المستلم,
Red,أحمر,
Reject,رفض,
Rejected,مرفوض,
Rejection / Deferral Reason,سبب الرفض / التأجيل,
Reload,تحديث,
Remarks,ملاحظات,
Report,تقرير,
Resolution,قرار,
Resolution / Answer,الحل / الإجابة,
Resolution Notes,ملاحظات الحل,
Resolved,تم الحل,
Resolved Date,تاريخ الحل,
Responsible Contractor,المقاول المسؤول,
Review Date,تاريخ المراجعة,
Revision,مراجعة,
Risk Assessment,تقييم المخاطر,
Risk Assessment Status,حالة تقييم المخاطر,
Risk Level,مستوى المخاطرة,
Role,صلاحية,
SVR Attendee,حاضر الزيارة الميدانية,
SVR Contractor Log,سجل المقاول في الزيارة الميدانية,
SVR Issue,ملاحظة زيارة,
SVR Photo,صورة الزيارة الميدانية,
Salary Allocation Account,حساب تخصيص الرواتب,
Sales Order,أمر البيع,
Schematic,تصميم تخطيطي,
Scope,نطاق,
Score,الدرجة,
Section,الجزء,
Series,سلسلة التسمية,
Session Defaults,الجلسة الافتراضية,
Signed,موقّع,
Site Visit Report,تقرير الزيارة الميدانية,
Snag Item,عنصر ملاحظة,
Snag Items,عناصر الملاحظات,
Snag List,قائمة الملاحظات,
Snag Resolution SLA (Days),مدة SLA لحل الملاحظات (أيام),
Standard,اساسي,
Start Date,تاريخ البدء,
Status,الحالة,
Stop Work Notice,إشعار إيقاف العمل,
Subcontractor Valuation,مستخلص المقاول الفرعي,
Subcontractor Valuation Item,عنصر مستخلص المقاول الفرعي,
Subject / Query Title,الموضوع / عنوان الاستفسار,
System Manager,مدير النظام,
Task Brief,ملخص المهمة,
Task Type,نوع المهمة,
Technical Lead,القيادة التقنية,
Technical Lead Approved,اعتماد القيادة التقنية,
Technical Lead Reviewer,مراجع القيادة التقنية,
Tender,وثائق المناقصة,
Title,اللقب,
Toggle Full Width,تفعيل/إلغاء العرض الكامل,
Toggle Theme,تبديل المظهر,
Total Amount,المبلغ الإجمالي,
Total Budget,الميزانية الإجمالية,
Total Claimed Amount,إجمالي المبلغ المطالب به,
Total Open Snags,إجمالي الملاحظات المفتوحة,
Total Project Budget,إجمالي ميزانية المشروع,
Totals,المجاميع,
Transmittal,خطاب إرسال,
Transmittal Date,تاريخ خطاب الإرسال,
Transmittal Drawings,مخططات خطاب الإرسال,
UOM,وحدة القياس,
Unacceptable,غير مقبول,
Unknown,غير معروف,
Verified,التحقق,
View Website,مشاهدة الموقع,
